C00035710 | Isodon sinuolata
C00035711 | Isodon oresbia
C00035711 | Isodon oresbius
C00035711 | Isodon sinuolata
C00035744 | Isodon japonica
C00035744 | Isodon oresbia
C00035744 | Isodon oresbius
C00035769 | Isodon oresbia
C00035769 | Isodon oresbius
C00035769 | Isodon sinuolata
C00035769 | Isodon trichocarpa
C00036615 | Isodon enanderianus
C00036615 | Isodon rubescens var.lushiensis
C00036726 | Isodon enanderianus
C00036726 | Isodon rubescens var.lushiensis
C00037086 | Isodon enanderianus
C00037093 | Isodon xerophilus
C00037094 | Isodon enanderianus
C00037095 | Isodon enanderianus
C00037096 | Isodon enanderianus
C00037429 | Isodon japonicus
C00037429 | Isodon xerophilus
C00037429 | Isodon xerophylus
C00037430 | Isodon enanderianus
C00037430 | Isodon japonicus
C00037430 | Isodon xerophilus
C00037431 | Isodon enanderianus
C00037458 | Isodon enanderianus
C00037458 | Isodon xerophilus
C00037559 | Isodon japonica
C00037559 | Isodon japonicus Hara.
C00037559 | Isodon oresbia
C00037559 | Isodon sculponeatus
C00037559 | Isodon sinuolata
C00037559 | Isodon trichocarpus
C00037716 | Isodon japonica
C00037717 | Isodon ternifolia
C00037717 | Isodon xerophilus
C00037750 | Isodon rosthornii
C00037750 | Isodon xerophilus
C00037816 | Isodon enanderianus
C00037816 | Isodon japonica
C00037816 | Isodon parvifolius
C00037876 | Isodon japonica
C00037877 | Isodon japonica
C00037878 | Isodon rubescens
C00037879 | Isodon rubescens
C00038020 | Isodon enanderianus
C00038020 | Isodon xerophilus
C00038020 | Isodon xerophylus
C00038021 | Isodon enanderianus
C00038021 | Isodon xerophilus
C00038022 | Isodon xerophilus
C00038023 | Isodon xerophilus
C00038024 | Isodon xerophilus
C00038398 | Isodon albopilosus
C00038399 | Isodon albopilosus
C00038400 | Isodon albopilosus
C00039084 | Isodon japonicus
C00039085 | Isodon japonicus
C00039108 | Isodon xerophilus
C00039197 | Isodon japonicus
C00039198 | Isodon excisus
C00039199 | Isodon excisus
C00039200 | Isodon excisus
C00039201 | Isodon excisus
C00039202 | Isodon excisus
C00039343 | Isodon xerophilus
C00039344 | Isodon xerophilus
C00039413 | Isodon excisus
C00039413 | Isodon inflexa
C00039414 | Isodon excisus
C00039414 | Isodon inflexa
C00039415 | Isodon excisus
C00039415 | Isodon inflexa
C00039416 | Isodon excisus
C00039416 | Isodon inflexa
C00039417 | Isodon excisus
C00039417 | Isodon inflexa
C00039604 | Isodon japonica
C00039604 | Isodon japonicus
C00039604 | Isodon lasiocarpus
C00039604 | Isodon rugosus
C00039639 | Isodon japonicus
C00039656 | Isodon japonicus
C00039656 | Isodon loxothyrsa
C00039734 | Isodon xerophilus
C00039739 | Isodon enanderianus
C00039739 | Isodon japonicus
C00039739 | Isodon megathyrsus
C00039908 | Isodon sculponeatus
C00039996 | Isodon phyllostachys
C00039996 | Isodon xerophilus
C00040098 | Isodon japonicus
C00040098 | Isodon pharicus
C00040140 | Isodon rubescens
C00040140 | Isodon ternifolia
C00040140 | Isodon xerophilus
C00040141 | Isodon ternifolia
C00040141 | Isodon xerophilus
C00040550 | Isodon enanderianus
C00040550 | Isodon trichocarpa
C00040550 | Isodon xerophilus
C00040682 | Isodon xerophilus
C00040682 | Isodon xerophylus
C00040683 | Isodon xerophilus
C00040684 | Isodon xerophilus
C00040684 | Isodon xerophylus
C00040685 | Isodon xerophilus
C00040686 | Isodon xerophilus
C00040687 | Isodon xerophilus
C00040688 | Isodon xerophilus
C00040689 | Isodon xerophilus
C00040690 | Isodon xerophilus
C00040691 | Isodon xerophilus
C00040692 | Isodon xerophilus
C00040693 | Isodon xerophilus
C00040694 | Isodon xerophilus
C00040695 | Isodon xerophilus
C00040696 | Isodon xerophilus
C00040697 | Isodon xerophilus
C00040862 | Isodon adenantha
C00040862 | Isodon calcicola
C00040905 | Isodon calcicola
C00040906 | Isodon adenantha
C00040906 | Isodon calcicola
